tipo_servico,profile,skill_pri,skill_name
PAT_CT_24H_SUPERVISAO,ASSIST_24H,23121021,ASSIST_24H_SUP
PAT_CT_SERVICOS_AZUL_BLLU,ASSIST_24H,23121006,ASSIST_AUTO_AZUL
PAT_CT_SERVICOS_AZUL_CHEV,ASSIST_24H,23121006,ASSIST_AUTO_AZUL
PAT_CT_SERVICOS_AZUL_NR,ASSIST_24H,23121006,ASSIST_AUTO_AZUL
PAT_CT_SERVICOS_AZUL_REG,ASSIST_24H,23121006,ASSIST_AUTO_AZUL
CLIENTE_VIP_AZUL,ASSIST_24H,23121006,ASSIST_AUTO_AZUL
PAT_CT_SERVICOS_AZUL,ASSIST_24H,23121006,ASSIST_AUTO_AZUL
PAT_CT_24H_AZUL_AUTO,ASSIST_24H,23121006,ASSIST_AUTO_AZUL
AZUL_TENTATIVASEXCEDIDAS,ASSIST_24H,23121006,ASSIST_AUTO_AZUL
PAT_CT_ITAU_AUTO_REG,ASSIST_24H,23121007,ASSIST_AUTO_ITAU
CLIENTE_VIP_ITAU,ASSIST_24H,23121007,ASSIST_AUTO_ITAU
PAT_CT_ITAU_AUTO,ASSIST_24H,23121007,ASSIST_AUTO_ITAU
PAT_CT_24H_PORTO_AUTO_APL,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
PAT_SOCORRO_AUTO_ATT,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
PAT_SOCORRO_AUTO_ATT_AUDI,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
PAT_SOCORRO_AUTO_ATT_VW,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
PAT_SOCORRO_AUTO_AUDI,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
PAT_SOCORRO_AUTO_REG_AUDI,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
PAT_SOCORRO_AUTO_CORRETOR,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
PORTO_AUTO_JOVEM,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
PAT_CT_24H_PORTO_AUTO_MI,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
PAT_PORTO_PRODUTO_NAO_ENCONTRADO_MI,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
PAT_SOCORRO_NR,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
PAT_SOCORRO_AUTO_RC,ASSIST_24H,23121008,ASSIST_AUTO_PORTO
